Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-A1_1_12125.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-B1_1_12126.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-C1_1_12127.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-D1_1_12128.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-E1_1_12129.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-F1_1_12130.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-G1_1_12131.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleA_RAWdata\DIA_SampleA_10ng_S1-H1_1_12135.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-A5_1_12136.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-B5_1_12137.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-C5_1_12138.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-D5_1_12139.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-E5_1_12140.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-F5_1_12141.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-G5_1_12142.d	E:\Yixin\SoftHybrid_Benchmarking_Data\RAW_data\1_HYE_DIA_sampleB_RAWdata\DIA_SampleB_10ng_S1-H5_1_12143.d
P28066	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	8	8	675658	633948	680833	665807	631428	678795	690540	689803	625054	601313	602861	625224	626742	634273	621745	630223
P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	6	6	359522	327164	336919	343744	330970	331488	348336	365520	333980	324166	343361	327338	326419	320903	308329	318893
P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	9	9	392614	370959	396128	394172	389784	381924	397633	369230	393947	382902	410301	407830	407616	390933	404686	419094
P28074	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	14	13	198069	200840	196974	195377	193809	195154	196351	207768	205780	196496	192509	189599	190558	191297	189268	194549
P28161	GSTM2_HUMAN	GSTM2	Glutathione S-transferase Mu 2	7	3	34803	27068.2	27189.4	26943.6	27060.2	31986.2	27698.9	26170.6	27580	30876.8	25490.6	26787.1	27682.9	27990.5	27425	24263.8
P28239	IPYR2_YEAST	PPA2	Inorganic pyrophosphatase, mitochondrial	2	2	19807.6	18029.9	22147.4	12588.6	19279.8	15449	21180.1	6509.2		5172.55	6548.53	6463.69			3651.64	6614.14
P28241	IDH2_YEAST	IDH2	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial	14	14	742388	803891	843842	789215	824422	836492	788399	846042	375092	377830	352833	380259	382447	397784	390995	386344
P28248	DCD_ECOLI	dcd	dCTP deaminase	4	4	61390.3	52370.5	54861.5	57866.5	48881.8	46253.2	59566.2	52264.2	190423	185410	202745	189277	187256	188510	178297	190888
P28249	ASMA_ECOLI	asmA	Protein AsmA	3	3	13020.6		17544.1						39975.7	31729.1	33566.2	31120.3	37281.3	38243.8	31663.6	39674.8
P28272	PYRD_YEAST	URA1	Dihydroorotate dehydrogenase (fumarate)	8	8	519588	568266	551951	534647	538209	562309	565238	569081	234617	235694	224523	232535	242142	230431	237212	227516
P28273	OPLA_YEAST	OXP1	5-oxoprolinase	22	22	31603.6	32466.2	32324.6	32235.7	33895.9	35942.4	30219.1	35381.2	12353	14206.2	15544.3	16241.7	15896.4	15211.3	14111.3	13213
P28274	URA7_YEAST	URA7	CTP synthase 1	19	17	105284	102395	104038	106432	97642.2	105112	112952	101745	47795.1	53069.7	51923.4	51882.6	51987.6	51221	53642.1	48184.3
P28288	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	6	6	11426.8	15687	19561.3	19975.9	18645.9	18329.4	19143.4	20035.4	18777.6	20139.5	19838.7	22861.2	22394.9	22051.6	19067	16510.1
P28289	TMOD1_HUMAN	TMOD1	Tropomodulin-1	15	14	60947.5	58517.2	58232.9	65772.8	60544	63031.6	63276.3	63729.2	64025.8	62958.7	71258.9	69664	70040.3	65284.6	65783.3	66915
P28290	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	9	9	12447.6	17318.4	13767.2	15317.9	15476.2	17160.1	17409.3	16416.5	14642.4	14208.2	14514.4	14269.3	15341.5	17497.2	16168.7	16330.1
P28304	QOR1_ECOLI	qorA	Quinone oxidoreductase 1	12	12	19097.2	22014.8	23413.5	20821.8	23985.5	24473.4	23734.2	21376.2	72830.4	70999.7	72440.5	74054.4	75359.9	74738.4	73884.5	78592.4
P28305	PABC_ECOLI	pabC	Aminodeoxychorismate lyase	1	1	14259.4								14904.4	21013.7	20096.7	19254.3	20061.3	21105.4	14968.6	20204.1
P28319	CWP1_YEAST	CWP1	Cell wall protein CWP1	3	3	15044.2	12681.8	15144.2	13534.1	14442.2	13692.8	14587.1	13627.9	8172.97	6970.34	8715.75		8064.98	7557.18	8238.61	7285.7
P28321	MGLL_YEAST	YJU3	Monoglyceride lipase	8	8	39099.1	39778.7	40570.8	42117	40856.1	38994.8	41170.5	39587.1	18010.5	22209.8	21633.1	23245.7	23427.9	21247.4	23075.1	23068.2
P28331	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	34	34	79227.1	77335.4	79728.4	76582.1	79074.2	74199.1	74588.3	76300.4	76923.7	79295.2	79920.4	82199.8	80947	80524.8	78337.1	80345.7
P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	34	33	107863	105469	105496	104057	104894	108071	104691	106213	104582	103343	98921	101380	103656	105935	102423	107280
P28347	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1	3	1	22652.5	21984.1	18926.3	18838	21533.7	18849.7	19834.3	17131.2	16720.6	16328.9	23412.6	18975.4	18809	20211.6	21883.5	20663.2
P28482	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	28	20	333175	321033	323186	322872	321221	304825	330342	312104	333782	329381	319174	329258	316220	312957	307285	313157
P28495	CAPZA_YEAST	CAP1	F-actin-capping protein subunit alpha	9	9	131616	127298	125002	132737	117101	125802	135278	136617	62027.3	65194	64519.6	66490	57400.4	56357.6	59504.8	58090.2
P28496	LAC1_YEAST	LAC1	Ceramide synthase LAC1	1	1	22494.1	23493.6	25814.2	32260.5	25373.1	25647.2	31802.2	24004.5	14197	13865.6	15143.5	15788.4	14339	14567.7	13083.1	15686.8
P28625	YIM1_YEAST	YIM1	Protein YIM1	5	5	32801.7	32982.3	31460.8	34599.2	32075.1	32902.7	33291	34780	17657.2	16557.5	15546.4	16330.7	16161.1	17854.9	17734.7	17998
P28632	HOLD_ECOLI	holD	DNA polymerase III subunit psi	2	2		2930.78	3025.59		2581.18	3033.41	3465.66	3127.53	9868.43	13498.6	12694	13243	13199.4	11917	12875.1	12880.2
P28634	TRMO_ECOLI	trmO	tRNA (adenine(37)-N6)-methyltransferase	2	2									14173.6	9625.78	14405.1	14424.6	14791	17401.9	13072.2	12267.8
P28635	METQ_ECOLI	metQ	D-methionine-binding lipoprotein MetQ	12	12	30788.8	37967.9	34511.9	33220.3	34931.2	34270	34278.6	36833.4	123827	120056	113119	117220	121176	123833	121256	127562
P28702	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	3	3	10851.8	12612.9	12081.5	10899	6816.33	10897.7	12842	8374.85	8057.82	11071.3	7311.47	8989.58	9327.18	9892.73	9141.84	13726
P28707	SBA1_YEAST	SBA1	Co-chaperone protein SBA1	6	6	284505	260922	265471	282181	266427	269214	270262	280235	117810	117952	122618	126272	112197	115512	112411	124593
P28715	ERCC5_HUMAN	ERCC5	DNA excision repair protein ERCC-5	8	8	11871.2	13371.1	12134	11796.9	12449.3	11809.1	13441.6	12485.1	11578	10082.3	11189.3	11364	11089.4	10633	13100.6	11905.8
P28737	MSP1_YEAST	MSP1	Outer mitochondrial transmembrane helix translocase	2	2	11759.6	14143.5	9848.6	12590.1	13829.2	9095.36	14125.2	13163.7	9686.64		6374.9	6155.84	5992.52			
P28777	AROC_YEAST	ARO2	Chorismate synthase ARO2	14	14	128354	133076	134584	143272	135081	137140	147915	133789	62158.3	64264.3	68451.4	64370.4	64242.4	65429.7	64728.2	66085.2
P28789	HEM3_YEAST	HEM3	Porphobilinogen deaminase	7	7	17119.6	15655	18114	18214	18457.3	19813.7	19417.6	19137.3	9390.93	8699.75	10271.4	10298.3	9517.76	10077	9780.23	9068.7
P28791	SEC20_YEAST	SEC20	Protein transport protein SEC20	1	1	4764.17	2864.05	5837.67	3029.57	4261.72	5367.86	4682.73	5685.63		2105.32		1537.52		2196.48		3041.58
P28799	GRN_HUMAN	GRN	Progranulin	1	1	1598.32	2647.87	1726.06	1621.99	1615.78	1836.74	1608.67	2458.47	1461.88	1818.39	1689.58	1731.89	1314.26	1549.92	1754.89	2875.56
P28817	HIBCH_YEAST	EHD3	Small ribosomal subunit protein mS47	2	2	13055.9	15439.2	12519.9	5529.67		13123.6		9746.22	5647.26	5868.99	5589.32	5307.79	6858.22	5990.59	5062.58	9589.72
P28834	IDH1_YEAST	IDH1	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial	17	17	510280	542157	519476	560007	532348	556758	542047	549984	260783	260088	270992	264402	261732	263840	262604	274053
P28838	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	33	33	312763	294985	289435	308923	293904	305257	312073	315987	308160	306782	302897	318035	302108	303630	308453	302003
P28861	FENR_ECOLI	fpr	Flavodoxin/ferredoxin--NADP reductase	4	4	17796.3	16463.2	17488	16792.8	14595.7	19279.8	17199.4	16726.8	56205.7	59567.4	60271.3	58900.6	60613.5	60154.4	60889.1	56702.6
P28903	NRDD_ECOLI	nrdD	Anaerobic ribonucleoside-triphosphate reductase	6	6	8453.94	9550.69	10985.4	13909.3	11483.9	11595.8	10559.7	10051.6	39490.2	36915.7	35072.5	34546	39385.3	32210.4	33743.9	29090.4
P28904	TREC_ECOLI	treC	Trehalose-6-phosphate hydrolase	2	2	11677.4						14562.6	10796.4	19712.6	20581.2	24466.6	24429.4	25391.3	22241.3	26616	26423.2
P28905	HOLC_ECOLI	holC	DNA polymerase III subunit chi	3	3	6114.91	8861.31	3781.69		4827.43	5494.72		7006.77	23839.1	16860.5	20635	20735.2	21283.8	22125.1	21616.1	22692.4
P28908	TNR8_HUMAN	TNFRSF8	Tumor necrosis factor receptor superfamily member 8	2	2	61012.1	81416.1	67436.8	65866.1	71680.2	79824.7	72036.3	81786.3	85535	62069.9	71136.1	68044.8	61811.4	68117.8	66244.7	45468.8
P29018	CYDD_ECOLI	cydD	Glutathione/L-cysteine transport system ATP-binding/permease protein CydD	2	2	14291.4	15710.2	16093.7	14433.1	13525.4	12080.9	12282.7	9894.95	21859.1	19870	16688.7	14538	19819.7	20612.3	16740.1	21656.5
P29029	CHIT_YEAST	CTS1	Endochitinase	1	1	11737.7	14691	12888.6	16179.2	12256.5	19116.5	12887	14928.6	7462.82	6801.18	11993.4		9282.38			8744.52
P29055	TF2B_YEAST	SUA7	Transcription initiation factor IIB	3	3	16597.1	15590.9	14769.8	13945.5	15205.9	14840.3	13693.2	15116.2	7182.76	7612.93	8093.47	6305.65	5602.58	8402.08	6165.98	6752
P29056	TF3B_YEAST	BRF1	Transcription factor IIIB 70 kDa subunit	1	1	5850.16	4492.9	4895.27	5064.03	4686.8	3275.32	3766.7	6683.51	2723.58	2196.55	2487.9	1992.32		2739.98	1859.23	2108.94
P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	11	11	89662.8	89862.5	91120.2	93067.6	92973.8	92807	97162.2	99839.2	92906.7	93240.3	86526.9	93217	90859.5	93942.6	95909	87397.2
P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	9	9	39910.4	41307.7	42212.3	42549.8	39980.5	44460.1	41490.6	46199.8	39805	41499.5	38647.1	42608	38820.6	39992.4	41570.1	42858.1
P29131	FTSN_ECOLI	ftsN	Cell division protein FtsN	6	6	7300.69	8148.1	8637.77	8105.18	7640.26	7982.19	7203.54	11874.2	25422.5	23641.1	27060.5	26848.7	24992.1	24699.4	23824.7	28721.3
P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	47	47	66007.9	68963.1	68303.1	66847.8	68937.5	68648.2	65991.1	70659.3	68346.3	69534.6	66931.1	69676.2	70262.9	69164.8	67765	69969.6
P29208	MENC_ECOLI	menC	o-succinylbenzoate synthase	2	2									43327.2	40568	35535.4	37582.9	45777.8	38868.3	46849.1	37504.7
P29217	YCEH_ECOLI	yceH	UPF0502 protein YceH	5	5	8489.65	10524.7	11043.3	11540.3	7714.67	9518.69	8970.94	7498.86	29779.1	30371.6	25717.3	25825.8	27369.2	31020.5	26049.8	25525.8
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	11	11	96673.7	101418	104178	97405.2	97964.9	97094.3	96025.7	100120	99102	96918.9	95278.7	95721.9	95973.7	100513	99535.4	100954
P29295	HRR25_YEAST	HRR25	Casein kinase I homolog HRR25	4	3	22031.7	20153.8	22325.5	18677	19326.1	18827.3	20263.1	19999.2	10234.1	8197.46	8153.48	10196.6	10514.1	8830.9	10483.6	8925.43
P29311	BMH1_YEAST	BMH1	Protein BMH1	17	7	493054	465949	484600	513263	494852	500810	528499	493704	231768	227142	261451	252301	245273	228170	240924	240552
P29353	SHC1_HUMAN	SHC1	SHC-transforming protein 1	10	8	31887.5	31642.9	36720.1	33859.6	34176.9	37703.6	32446	32859.3	34279.1	31725.5	32496.4	33673.9	28276.1	34477.4	32529.6	33982.1
P29366	BEM1_YEAST	BEM1	Bud emergence protein 1	5	5	42628.9	33131.5	28841	31183.6	31987.5	29832.8	33364.7	43506.4	27442.9	26154.4	25058.3	16468.8	21774.1	25857.1	23326.1	26735.5
P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	10	10	54265.2	54150.1	53137.4	54566.8	53636.5	50219.3	55947.6	54362.2	52993.6	55027.6	50404.4	48864.3	50907.8	50959.7	50794.1	52269.6
P29374	ARI4A_HUMAN	ARID4A	AT-rich interactive domain-containing protein 4A	5	5	8424.94	12656.5	8842.93	11459.8	8946.09	12888.7	12441.6	13980.3	9287.07	6873.75	7895.65	12260.3	8973.97	8929.2	10623.5	10960.8
P29375	KDM5A_HUMAN	KDM5A	Lysine-specific demethylase 5A	1	1		3965.41	2726.51	3886.69	4238.2	2788.35	2547.86	3613.1	2764.65	3440.38	2252.74	2991.96	4082.95	2451.27	3067.77	2842.59
P29401	TKT_HUMAN	TKT	Transketolase	36	36	637552	628436	640152	643588	647056	618807	646727	610107	639856	624690	654197	673685	636585	631079	628727	632760
P29453	RL8B_YEAST	RPL8B	Large ribosomal subunit protein eL8B	5	5	508186	597106	620850	578297	617355	642933	593446	594442	277959	273271	270345	279497	281485	272803	280521	277690
P29465	CHS3_YEAST	CHS3	Chitin synthase 3	2	2	4617.31	6360.13	6982.85	6874.82	5617.35	5385.34	7182.98	5025.56		3736.95			2699.27	4093.93		4235.14
P29468	PAP_YEAST	PAP1	Poly(A) polymerase	8	8	24320.9	22845.6	22426	21266.1	25641.4	27535.6	23325.7	27907.1	10582	10971.3	11260.3	12442.3	13338.9	10446.6	12203.1	11021.2
P29469	MCM2_YEAST	MCM2	DNA replication licensing factor MCM2	2	2		1944.5	3501.14	3289.62			1943.17	2680.74				4333.7				
P29478	SEC65_YEAST	SEC65	Signal recognition particle subunit SEC65	7	7	60407.1	62002	59304.8	60146.6	62110.2	54263	55792.7	57397.7	29723.5	21672.9	26999.2	28802.6	29261.5	30873.9	28459.8	29555.6
P29496	MCM5_YEAST	MCM5	Minichromosome maintenance protein 5	4	4	43600.3	44480.4	45548.4	38038.7	49603.9	42892.3	38238.5	41394.6	26229.9	24386.5	24828.2	24062.6	24828.9	24801.8	16145.9	29923.5
P29509	TRXB1_YEAST	TRR1	Thioredoxin reductase 1	16	14	320400	337477	349671	348106	343770	356460	350218	363659	166401	162558	170938	164229	162274	165199	166347	167821
P29547	EF1G1_YEAST	CAM1	Elongation factor 1-gamma 1	11	11	661815	644912	624276	663143	641871	627073	642116	729701	292954	286196	283021	292655	285758	275780	282955	285658
P29590	PML_HUMAN	PML	Protein PML	16	16	56258.9	59012.8	59176.9	57675.2	59697.2	56594.2	54297.2	56839.8	55395.9	55016.4	53814	55676.5	53086	53470.1	53041	53565.6
P29597	TYK2_HUMAN	TYK2	Non-receptor tyrosine-protein kinase TYK2	3	3	37198.9	28520.6	32186.3	27558.4	31079.9	33702.5	34038.4	35086.4	37118.6	28477.9	28317.5	30691	24193.4	31396.3	30280	31621.1
P29680	DCUP_ECOLI	hemE	Uroporphyrinogen decarboxylase	3	3		8899.98	2054.52	7927.2			5751.01		19384.1	22055.7	21527.7	19860.4	21528.2	22098.5	21590	23909
P29692	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	21	18	645044	651134	658513	638587	643138	635859	634236	669303	631384	628365	630106	643320	643429	642500	644948	639676
P29704	ERG9_YEAST	ERG9	Squalene synthase ERG9	12	12	103920	101904	100372	106581	98361.6	107184	103025	98469.7	44531.4	42699.5	44973.7	50979.5	47760	46574.9	47275.1	46959
P29744	FLGL_ECOLI	flgL	Flagellar hook-associated protein 3	1	1					4100.79				6541.3	10149.4	7417.44	6226.38	5915.12	7290.17	8596.08	7690.67
P29745	PEPT_ECOLI	pepT	Peptidase T	6	6	16876.2	14346.8	13614.1	15216.7	16070.1	17769.6	16553.1	17978.4	47881.5	45018.8	45909.2	51086.1	44612.5	43940.3	43988.9	51330.9
P29952	MPI_YEAST	PMI40	Mannose-6-phosphate isomerase	11	11	101474	106615	104863	114726	111108	104820	105120	95385.2	45243.2	45281.1	49670.3	55278.3	48261.4	48340	50477.4	50613.7
P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	3	3	8425.33	9540.28	11747	6452.08	7524.37	7264.12	7598.95	7038.73	10351	9732.06	8602.45	10648.8	10824	6100.7	8180.8	8900.64
P30011	NADC_ECOLI	nadC	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	9	9	21962.7	24248	21524.6	22391.4	19825.2	22289.9	23060.8	23162.4	66197.2	68714.3	72561.7	72892.6	75118	72494.3	73220.9	72484.4
P30014	RNT_ECOLI	rnt	Ribonuclease T	4	4	8404.24	8616.27	9176.91	6197.03	9290.34	8805.64	8354.69	9531.47	19624	21093.6	21471.8	21968.9	21250.4	21737.4	20682.6	23214
P30038	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	16	16	65114.8	65662.4	64446.6	64101.8	64354.6	67014.5	66562	65926	60317.3	63162.3	60464.9	61416.5	61599.9	61485.2	63135.9	64127
P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	16	16	513861	485401	475224	465718	475400	458384	458360	474034	472518	466675	434277	455477	449234	450343	442041	440656
P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	23	23	1.60013e+06	1.44241e+06	1.47964e+06	1.60061e+06	1.48719e+06	1.51902e+06	1.61033e+06	1.5744e+06	1.6352e+06	1.6467e+06	1.73071e+06	1.76163e+06	1.62186e+06	1.67672e+06	1.62186e+06	1.61691e+06
P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	14	14	571730	558745	594705	588400	610182	554125	571514	592204	591925	594250	572625	601542	565864	579270	567732	584238
P30044	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	11	11	345824	373845	374610	350351	352226	381799	358121	358615	367257	368260	352994	360843	357501	365193	365717	363227
P30046	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	6	2	189048	164903	175352	174377	169747	170368	177624	132815	173989	179268	202083	210759	186300	191918	189250	201203
P30047	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	1	1	17537.1	19278.2	15474.8	22527.7	12923.8	23457.6	13924.3	18317.7	10750.8	13213.3	20387.1	18817.2	14119.2	10849	8891.97	10545.8
P30048	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	11	11	341542	336043	316950	314116	338828	322659	322494	310146	314794	309878	296672	317505	306123	304568	302318	307382
P30049	ATPD_HUMAN	ATP5F1D	ATP synthase F(1) complex subunit delta, mitochondrial	3	3	797476	788076	815542	784100	787241	832697	763441	829084	760626	736767	741132	793493	796277	780068	788593	767098
P30050	RL12_HUMAN	RPL12	Large ribosomal subunit protein uL11	10	8	3.62697e+06	3.89536e+06	4.29398e+06	4.13987e+06	3.99367e+06	4.02155e+06	3.96813e+06	3.93183e+06	3.66044e+06	3.71672e+06	4.03995e+06	3.62904e+06	3.67426e+06	3.67703e+06	3.64313e+06	3.72945e+06
P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	16	16	312454	308145	316504	316380	316197	322225	313485	314189	318812	332526	321780	341817	333665	326363	340128	337599
P30085	KCY_HUMAN	CMPK1	UMP-CMP kinase	16	15	577710	612663	586874	588192	597613	587254	603513	603329	576053	570589	546360	555819	555004	553093	562806	579804
P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	11	11	827425	799660	751971	786990	732223	781973	798948	695392	778560	764718	748827	765251	719676	742764	743255	730314
P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	38	38	1.0064e+06	1.02182e+06	1.00927e+06	1.01366e+06	995858	1.03194e+06	985198	1.00946e+06	1.01319e+06	1.01109e+06	976396	982981	1.0163e+06	1.00034e+06	1.00682e+06	999451
P30126	LEUD_ECOLI	leuD	3-isopropylmalate dehydratase small subunit	4	4						3191.14	3813.37	4479.03	10645.3	11291.7	10599.9	12187.8	10870.2	11428.1	12568.6	12532.6
P30128	GREB_ECOLI	greB	Transcription elongation factor GreB	2	2	12515.6	9982.94	8679.62	9732.71	8903.2	9752.85	11298.3	13219.4	36719.1	33144.2	33267.5	34408.2	31050	33882.4	35812	33719.3
P30137	THIE_ECOLI	thiE	Thiamine-phosphate synthase	1	1	143696			125580					167538			148973			140200	149309
P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	35	26	330859	318322	322406	330200	320813	320332	336324	307593	321376	323264	338948	335590	325687	328220	322815	335358
P30154	2AAB_HUMAN	PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	19	19	74497.9	75020.5	77190.2	80357	74745	73194.7	78084.2	72286.9	78767.7	77129.2	79313	80905.9	77210	80349.9	77414.2	78906.3
P30176	RIBX_ECOLI	ybiA	N-glycosidase YbiA	2	2	5833.22								11045.4	10813.1	14450.9	11304.1	10497.3	11092.9	11446.7	11620.3
P30177	YBIB_ECOLI	ybiB	DNA-binding protein YbiB	15	15	52659.7	48674	50514.6	43458.4	46683.3	55571.4	54592.3	50978.9	157189	152416	154622	163749	158677	157144	158506	166084
P30178	HCXB_ECOLI	hcxB	Hydroxycarboxylate dehydrogenase B	8	8	13739.2	10444.2	10511.1	10483	10744.1	10436.8	12217.4	11839.5	31540.9	34003.2	36361.4	36947.8	32252.2	32330.2	34178.7	32499.4
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	14	14	61553.1	62581.7	60943	56816.1	58234.1	63805.1	57171.1	63199.8	60224.3	61347.5	60417.6	56436.7	62032.5	59369.3	61479.1	61850.1
P30291	WEE1_HUMAN	WEE1	Wee1-like protein kinase	7	7	29268.1	25943.5	30779.1	24909.1	29858.9	28658.1	30409.4	26524.4	29101	31234.6	25201.4	28402.9	29829	29406.3	29228.7	26772.7
P30307	MPIP3_HUMAN	CDC25C	M-phase inducer phosphatase 3	6	6	12291.2	11925.7	12253.6	12688.5	12090.3	14199.3	13074.6	13463.9	13971.9	13880.6	12080.1	13116.9	13028.2	14523	13637.5	14549
P30405	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	9	9	183888	181986	209571	195303	211000	162145	176695	185362	220995	219203	230461	214182	221715	209726	224733	194624
P30414	NKTR_HUMAN	NKTR	NK-tumor recognition protein	14	14	85418.9	89630.1	88306.4	83498.7	92298.9	84196.6	82919.2	79111	82023.8	77453.9	73946.6	80356	73875.6	76167.7	73878.3	81280.9
P30419	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	13	11	237376	226167	227014	220445	216474	218980	215948	236121	240092	230875	243252	239055	233316	228222	238635	234482
P30519	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	8	8	49771	46388.1	47164.7	47636.3	46709.5	45712	50498.2	44596	55302.9	55985.7	63731.9	60020.8	55122.5	54045.5	58206.4	55659.8
P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	21	19	168182	162554	168739	165034	169161	161438	163962	158299	162589	162652	163399	166430	163414	155423	159768	163669
P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	16	16	91861.2	87798.5	91582.2	89828	85626.1	92787.3	90902.4	95490.8	92398.6	91100.7	93747.6	94211.3	92653	93846.8	94842.5	95131.2
P30566	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	16	16	91356.8	91758.2	94893.4	91184.2	94937.9	95121.1	92135	90761.6	93606.4	94797.7	90847.4	91204	93867.3	95571.4	91336.6	93707.8
P30613	KPYR_HUMAN	PKLR	Pyruvate kinase PKLR	28	28	211458	205580	204330	195747	202846	203582	198158	210809	202460	196507	202396	210509	200611	206358	207032	212236
P30619	SEC1_YEAST	SEC1	Protein transport protein SEC1	7	7	17518.4	16431.6	13642.1	16856.6	17293.1	18180.8	19331.2	18108.1	7811.34	9746.26	5187.29	7974.49	8461.22	8853.82	7515.38	8035.83
P30622	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	40	39	247891	261595	251997	260730	259463	264952	257115	269411	261471	258778	253403	250546	260334	261866	258154	251428
P30624	LCF1_YEAST	FAA1	Long-chain-fatty-acid--CoA ligase 1	30	30	176224	178797	182847	181063	177752	177750	179202	179534	79573.7	81442.3	81825.7	81076.2	81322.2	79690.9	80444.6	83730.6
P30626	SORCN_HUMAN	SRI	Sorcin	11	11	183150	166547	179422	177777	180875	171205	184273	159227	172118	174121	181681	186892	168157	170071	168485	166801
